time,v1,v2,v3,i12,i23
0.0238,3.68124552684676,1.84062276342338,1.84062276342338,1.84062276342338,5.55111512312578e-17
0.0239,3.38737920245292,1.69368960122646,1.69368960122646,1.69368960122646,2.77555756156289e-17
0.024,3.09016994374946,1.54508497187473,1.54508497187473,1.54508497187473,2.77555756156289e-17
0.0241,2.7899110603923,1.39495553019615,1.39495553019615,1.39495553019615,0
0.0242,2.48689887164854,1.24344943582427,1.24344943582427,1.24344943582427,1.38777878078145e-17
0.0243,2.18143241396542,1.09071620698271,1.09071620698271,1.09071620698271,0
0.0244,1.87381314585724,0.93690657292862,0.936906572928619,0.93690657292862,1.38777878078145e-17
0.0245,1.5643446504023,0.782172325201152,0.782172325201152,0.782172325201152,1.38777878078145e-17
0.0246,1.25333233564304,0.62666616782152,0.626666167821519,0.62666616782152,1.38777878078145e-17
0.0247,0.941083133185141,0.470541566592571,0.470541566592571,0.470541566592571,6.93889390390723e-18
0.0248,0.627905195293134,0.313952597646567,0.313952597646567,0.313952597646567,0
0.0249,0.314107590781267,0.157053795390634,0.157053795390634,0.157053795390634,3.46944695195361e-18
0.025,3.67394039744206e-15,1.83697019872103e-15,1.83697019872103e-15,1.83697019872103e-15,4.93038065763132e-32
0.0251,-0.314107590781295,-0.157053795390648,-0.157053795390648,-0.157053795390648,0
0.0252,-0.627905195293126,-0.313952597646563,-0.313952597646563,-0.313952597646563,0
0.0253,-0.941083133185152,-0.470541566592576,-0.470541566592576,-0.470541566592576,-6.93889390390723e-18
0.0254,-1.25333233564305,-0.626666167821525,-0.626666167821525,-0.626666167821525,0
0.0255,-1.56434465040231,-0.782172325201157,-0.782172325201157,-0.782172325201157,0
0.0256,-1.87381314585725,-0.936906572928625,-0.936906572928625,-0.936906572928625,0
0.0257,-2.18143241396543,-1.09071620698271,-1.09071620698271,-1.09071620698271,0
0.0258,-2.48689887164855,-1.24344943582427,-1.24344943582427,-1.24344943582427,-1.38777878078145e-17
0.0259,-2.78991106039231,-1.39495553019615,-1.39495553019615,-1.39495553019615,-2.77555756156289e-17
0.026,-3.09016994374949,-1.54508497187474,-1.54508497187474,-1.54508497187474,0
0.0261,-3.38737920245293,-1.69368960122646,-1.69368960122646,-1.69368960122646,-2.77555756156289e-17
0.0262,-3.68124552684679,-1.84062276342339,-1.84062276342339,-1.84062276342339,-2.77555756156289e-17
0.0263,-3.97147890634781,-1.98573945317391,-1.98573945317391,-1.98573945317391,-2.77555756156289e-17
0.0264,-4.25779291565073,-2.12889645782537,-2.12889645782537,-2.12889645782537,0
0.0265,-4.53990499739547,-2.26995249869774,-2.26995249869774,-2.26995249869774,-5.55111512312578e-17
0.0266,-4.81753674101716,-2.40876837050858,-2.40876837050858,-2.40876837050858,0
0.0267,-5.09041415750371,-2.54520707875186,-2.54520707875186,-2.54520707875186,0
0.0268,-5.35826794978997,-2.67913397489498,-2.67913397489498,-2.67913397489498,-5.55111512312578e-17
0.0269,-5.62083377852131,-2.81041688926065,-2.81041688926065,-2.81041688926065,-5.55111512312578e-17
0.027,-5.87785252292473,-2.93892626146236,-2.93892626146236,-2.93892626146236,0
0.0271,-6.12907053652977,-3.06453526826489,-3.06453526826489,-3.06453526826489,0
0.0272,-6.3742398974869,-3.18711994874345,-3.18711994874345,-3.18711994874345,0
0.0273,-6.61311865323652,-3.30655932661826,-3.30655932661826,-3.30655932661826,-5.55111512312578e-17
0.0274,-6.84547105928689,-3.42273552964345,-3.42273552964345,-3.42273552964345,0
0.0275,-7.07106781186548,-3.53553390593274,-3.53553390593274,-3.53553390593274,0
0.0276,-7.28968627421412,-3.64484313710706,-3.64484313710706,-3.64484313710706,0
0.0277,-7.5011106963046,-3.7505553481523,-3.7505553481523,-3.7505553481523,0
0.0278,-7.70513242775789,-3.85256621387895,-3.85256621387895,-3.85256621387895,-5.55111512312578e-17
0.0279,-7.9015501237569,-3.95077506187845,-3.95077506187845,-3.95077506187845,-5.55111512312578e-17
0.028,-8.09016994374947,-4.04508497187474,-4.04508497187474,-4.04508497187474,-1.11022302462516e-16
0.0281,-8.27080574274562,-4.13540287137281,-4.13540287137281,-4.13540287137281,0
